path,resource count,relation count,codebase resources not deployed,codebase resources requires review,discovered packages total,codebase relations dwarf compiled paths,codebase relations dwarf included paths,codebase resources discrepancies total,dwarf compiled paths not mapped total,dwarf included paths not mapped total,from download url,to download url
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/amanda-debugsource-3.5.4-6.fc40.x86_64/d2d-details.json,506,269,293,25,5,19,250,25,28,208,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/amanda-debugsource-3.5.4-6.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/amanda-debuginfo-3.5.4-6.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/alpine-debugsource-2.26-8.fc40.x86_64/d2d-details.json,512,1154,1,6,3,281,873,6,25,151,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alpine-debugsource-2.26-8.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alpine-debuginfo-2.26-8.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/aime-debugsource-8.20230311-2.fc39.x86_64/d2d-details.json,2772,4786,,8,3,2918,1868,8,21,58,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aime-debugsource-8.20230311-2.fc39.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aime-debuginfo-8.20230311-2.fc39.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/e/ecryptfs-utils-debugsource-111-35.fc40.x86_64/d2d-details.json,96,65,,19,4,3,62,19,21,172,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/e/ecryptfs-utils-debugsource-111-35.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/e/ecryptfs-utils-debuginfo-111-35.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/akonadi-import-wizard-debugsource-24.02.1-1.fc40.x86_64/d2d-details.json,258,235,,11,3,21,214,11,20,1833,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/akonadi-import-wizard-debugsource-24.02.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/akonadi-import-wizard-debuginfo-24.02.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/awesfx-debugsource-0.5.1c-30.fc40.x86_64/d2d-details.json,75,170,,9,1,49,121,9,20,43,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/awesfx-debugsource-0.5.1c-30.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/awesfx-debuginfo-0.5.1c-30.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/3/3proxy-debugsource-0.9.4-3.fc40.x86_64/d2d-details.json,66,108,,10,4,14,94,10,18,80,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/3proxy-debugsource-0.9.4-3.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/3proxy-debuginfo-0.9.4-3.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/acpica-tools-debugsource-20220331-8.fc40.x86_64/d2d-details.json,457,933,,9,5,104,829,9,16,92,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/acpica-tools-debugsource-20220331-8.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/acpica-tools-debuginfo-20220331-8.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/c/cpmtools-debugsource-2.23-6.fc40.x86_64/d2d-details.json,50,59,,9,1,1,58,9,16,53,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/c/cpmtools-debugsource-2.23-6.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/c/cpmtools-debuginfo-2.23-6.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/f/fcitx-debugsource-4.2.9.9-7.fc40.x86_64/d2d-details.json,504,104,285,11,2,5,99,11,16,201,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/fcitx-debugsource-4.2.9.9-7.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/fcitx-debuginfo-4.2.9.9-7.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/e/exim-debugsource-4.97.1-5.fc40.x86_64/d2d-details.json,236,277,15,7,7,68,209,7,15,219,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/e/exim-debugsource-4.97.1-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/e/exim-debuginfo-4.97.1-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/aspell-debugsource-0.60.8-14.fc40.x86_64/d2d-details.json,211,444,,13,7,73,371,13,14,308,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aspell-debugsource-0.60.8-14.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aspell-debuginfo-0.60.8-14.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/anthy-unicode-debugsource-1.0.0.20211224-13.fc40.x86_64/d2d-details.json,119,157,,7,2,24,133,7,14,87,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/anthy-unicode-debugsource-1.0.0.20211224-13.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/anthy-unicode-debuginfo-1.0.0.20211224-13.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/anthy-debugsource-9100h-54.fc40.x86_64/d2d-details.json,119,152,,7,1,24,128,7,14,71,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/anthy-debugsource-9100h-54.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/anthy-debuginfo-9100h-54.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/audiocd-kio-debugsource-24.02.1-1.fc40.x86_64/d2d-details.json,111,54,,9,3,8,46,9,14,1104,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/audiocd-kio-debugsource-24.02.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/audiocd-kio-debuginfo-24.02.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/b/bluefish-debugsource-2.2.15-1.fc40.x86_64/d2d-details.json,200,218,,9,1,8,210,9,14,564,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bluefish-debugsource-2.2.15-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bluefish-debuginfo-2.2.15-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/abcMIDI-debugsource-2022.12.09-5.fc40.x86_64/d2d-details.json,58,54,,8,4,,54,8,13,37,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/abcMIDI-debugsource-2022.12.09-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/abcMIDI-debuginfo-2022.12.09-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/audit-debugsource-4.0.1-1.fc40.x86_64/d2d-details.json,243,147,119,7,3,15,132,7,13,153,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/audit-debugsource-4.0.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/audit-debuginfo-4.0.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/alsa-lib-debugsource-1.2.11-2.fc40.x86_64/d2d-details.json,205,283,,4,7,90,193,4,13,148,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alsa-lib-debugsource-1.2.11-2.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alsa-lib-debuginfo-1.2.11-2.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/b/bear-debugsource-3.1.3-5.fc40.x86_64/d2d-details.json,183,212,,4,2,78,134,4,13,735,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bear-debugsource-3.1.3-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bear-debuginfo-3.1.3-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/atril-debugsource-1.28.0-1.fc40.x86_64/d2d-details.json,334,213,146,5,6,19,194,5,12,405,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/atril-debugsource-1.28.0-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/atril-debuginfo-1.28.0-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/aubio-debugsource-0.4.9-21.fc40.x86_64/d2d-details.json,186,105,119,7,1,,105,7,12,24,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aubio-debugsource-0.4.9-21.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aubio-debuginfo-0.4.9-21.fc40.x86_64.rpm#to
