"project","path","type","name","status","for_packages","tag","extension","size","md5","sha1","sha256","sha512","mime_type","file_type","programming_language","is_binary","is_text","is_archive","is_media","is_legal","is_manifest","is_readme","is_top_level","is_key_file","detected_license_expression","detected_license_expression_spdx","license_detections","license_clues","percentage_of_license_text","compliance_alert","copyrights","holders","authors","package_data","emails","urls","extra_data","xlsx_errors"
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTimerInterruptHandler.d","file","MockTimerInterruptHandler.d","requires-review",,"to",".d","589","f084ee44eb2f3306a19ae964b2216dc7","123371882f36284eb26cea96fc1666db3e060514","86d1dcc60ed2be09c958cd4a22ed4612961efee1b11672499da76cf8c3ef8957",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTimerModel.d","file","MockTimerModel.d","requires-review",,"to",".d","538","363a08d6608f33efe1141d67b53acc9f","ea0b677e4ca3fab5864b4e1589fc36ba6e0ba4b1","1deaf6bca3b7ba791fec2964cfb4903868bb102d9a0acc90ae656fd4f922f12e",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartBaudRateRegisterCalculator.d","file","MockUsartBaudRateRegisterCalculator.d","requires-review",,"to",".d","609","2d99e226f306541f0d5daf26d694e47c","a0bec379c682eb936b7b676694354ff57f706a9e","e8bcd8e54927a7f2aef1acf0bf7a2176389d6c9914b392e7747e0897a362a255",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartConductor.d","file","MockUsartConductor.d","requires-review",,"to",".d","518","8b582b1968500eb41d4a6d003d2badaa","de1bf083a611867e83e619863a567cccf2bc3615","9bd948f3cebcb21c3650dc81eb4086451d0348ac2fc44d223b7315e5b2a31675",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartConfigurator.d","file","MockUsartConfigurator.d","requires-review",,"to",".d","573","4a2d8ebd0cfaa01f2dfd965147f811e6","baaa9802577019812a338403fbe03dd66a9d2bf3","e729afcbf0ed665490e50961706cea839fc2dfb5606a2c59b7cfe0d68a088eb3",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartHardware.d","file","MockUsartHardware.d","requires-review",,"to",".d","550","69722eb40da810e745c4c2dbde277695","9d4d6d849a520012f9dbdef98d7533a4db7ebcca","aafac02407b43c27c39a9e355069002ea3f38a0f700c163708645ea49f163fa1",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartModel.d","file","MockUsartModel.d","requires-review",,"to",".d","538","fd0250ca93740f46df9dfc0fcdced752","5bac0581c634f9a73153dc763e8de5245980bdf7","accc0f3f785e832d86de138b6b9e301e92eb6814d01163f1926e93b4f50e8b04",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockUsartPutChar.d","file","MockUsartPutChar.d","requires-review",,"to",".d","550","9ac62559d8cfcb6621f8c1a68355d3f0","7c1c2999d462af19e43ff64d3d3b7057548adffd","25f374d59d84df33d0252e24bb9b133798ebe7eccbf3900c941f3ab51197a9bd",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/Model.d","file","Model.d","requires-review",,"to",".d","123","b33401030144e8f3134bfecf154ecfb6","a2a41a74947291279553a9945e8c41e4763d32cb","8b1b5f1333b57834011fcc934dafc33aa5fc981daf268a0a1c3fd91d6dc6578e",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/TaskScheduler.d","file","TaskScheduler.d","requires-review",,"to",".d","111","2d4f2500620b08ecdf1138cac4218533","13366d520e37bd29aac1c871d435db5ff8404ee5","a590415336434177959482e9b96ecf964c7be5976ae61756cdfc5d0f0fa6d374",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
