project_name,input_urls
tinyspline-v0.6.0,"https://github.com/msteinbeck/tinyspline/archive/refs/tags/v0.6.0.zip#from,https://github.com/msteinbeck/tinyspline/releases/download/v0.6.0/tinyspline-0.6.0-x64-mingw32.gem#to"
ruby-mqtt-v0.6.0,"https://github.com/njh/ruby-mqtt/archive/refs/tags/v0.6.0.zip#from,https://github.com/njh/ruby-mqtt/releases/download/v0.6.0/mqtt-0.6.0.gem#to"
OpenTok-Ruby-SDK-v3.1.0,"https://github.com/opentok/OpenTok-Ruby-SDK/archive/refs/tags/v3.1.0.zip#from,https://github.com/opentok/OpenTok-Ruby-SDK/releases/download/v3.1.0/opentok-3.1.0.gem#to"
camaleon-cms-2.8.3,"https://github.com/owen2345/camaleon-cms/archive/refs/tags/2.8.3.zip#from,https://github.com/owen2345/camaleon-cms/releases/download/2.8.3/camaleon_cms-2.8.3.gem#to"
passenger-release-6.0.24,"https://github.com/phusion/passenger/archive/refs/tags/release-6.0.24.zip#from,https://github.com/phusion/passenger/releases/download/release-6.0.24/passenger-6.0.24.gem#to"
crono-v2.0.1,"https://github.com/plashchynski/crono/archive/refs/tags/v2.0.1.zip#from,https://github.com/plashchynski/crono/releases/download/v2.0.1/crono-2.0.1.gem#to"
ruby-nmap-v1.0.3,"https://github.com/postmodern/ruby-nmap/archive/refs/tags/v1.0.3.zip#from,https://github.com/postmodern/ruby-nmap/releases/download/v1.0.3/ruby-nmap-1.0.3.gem#to"
ruby-v5.3.5,"https://github.com/pubnub/ruby/archive/refs/tags/v5.3.5.zip#from,https://github.com/pubnub/ruby/releases/download/v5.3.5/pubnub-5.3.5.gem#to"
rack-v3.1.8,"https://github.com/rack/rack/archive/refs/tags/v3.1.8.zip#from,https://rubygems.org/downloads/rack-3.1.8.gem#to"
rack-test-v2.1.0,"https://github.com/rack/rack-test/archive/refs/tags/v2.1.0.zip#from,https://rubygems.org/downloads/rack-test-2.1.0.gem#to"
builder-v3.3.0,"https://github.com/rails/builder/archive/refs/tags/v3.3.0.zip#from,https://rubygems.org/downloads/builder-3.3.0.gem#to"
rails-v8.0.1,"https://github.com/rails/rails/archive/refs/tags/v8.0.1.zip#from,https://rubygems.org/downloads/activesupport-8.0.1.gem#to"
thor-v1.3.2,"https://github.com/rails/thor/archive/refs/tags/v1.3.2.zip#from,https://rubygems.org/downloads/thor-1.3.2.gem#to"
tiny_tds-v2.1.7,"https://github.com/rails-sqlserver/tiny_tds/archive/refs/tags/v2.1.7.zip#from,https://github.com/rails-sqlserver/tiny_tds/releases/download/v2.1.7/tiny_tds-2.1.7-x64-mingw-ucrt.gem#to"
jekyll_picture_tag-v1.14.0,"https://github.com/rbuchberger/jekyll_picture_tag/archive/refs/tags/v1.14.0.zip#from,https://github.com/rbuchberger/jekyll_picture_tag/releases/download/v1.14.0/jekyll_picture_tag-1.14.0.gem#to"
ronin-v2.1.0,"https://github.com/ronin-rb/ronin/archive/refs/tags/v2.1.0.zip#from,https://github.com/ronin-rb/ronin/releases/download/v2.1.0/ronin-2.1.0.gem#to"
rspec-rspec-support-v3.13.2,"https://github.com/rspec/rspec/archive/refs/tags/rspec-support-v3.13.2.zip#from,https://rubygems.org/downloads/rspec-support-3.13.2.gem#to"
rspec-core-v3.13.2,"https://github.com/rspec/rspec-core/archive/refs/tags/v3.13.2.zip#from,https://rubygems.org/downloads/rspec-core-3.13.2.gem#to"
rspec-expectations-v3.13.3,"https://github.com/rspec/rspec-expectations/archive/refs/tags/v3.13.3.zip#from,https://rubygems.org/downloads/rspec-expectations-3.13.3.gem#to"
rspec-metagem-v3.13.0,"https://github.com/rspec/rspec-metagem/archive/refs/tags/v3.13.0.zip#from,https://rubygems.org/downloads/rspec-3.13.0.gem#to"
rspec-mocks-v3.13.2,"https://github.com/rspec/rspec-mocks/archive/refs/tags/v3.13.2.zip#from,https://rubygems.org/downloads/rspec-mocks-3.13.2.gem#to"
json-v2.9.0,"https://github.com/ruby/json/archive/refs/tags/v2.9.0.zip#from,https://rubygems.org/downloads/json-2.9.0.gem#to"
rake-v13.2.1,"https://github.com/ruby/rake/archive/refs/tags/v13.2.1.zip#from,https://rubygems.org/downloads/rake-13.2.1.gem#to"
concurrent-ruby-v1.3.4,"https://github.com/ruby-concurrency/concurrent-ruby/archive/refs/tags/v1.3.4.zip#from,https://rubygems.org/downloads/concurrent-ruby-1.3.4.gem#to"
thread_safe-v0.3.6,"https://github.com/ruby-concurrency/thread_safe/archive/refs/tags/v0.3.6.zip#from,https://rubygems.org/downloads/thread_safe-0.3.6.gem#to"
i18n-v1.14.6,"https://github.com/ruby-i18n/i18n/archive/refs/tags/v1.14.6.zip#from,https://rubygems.org/downloads/i18n-1.14.6.gem#to"
ruby-net-ldap-v0.19.0,"https://github.com/ruby-ldap/ruby-net-ldap/archive/refs/tags/v0.19.0.zip#from,https://github.com/ruby-ldap/ruby-net-ldap/releases/download/v0.19.0/net-ldap-0.19.0.gem#to"
ruby-openstack-v3.3.8,"https://github.com/ruby-openstack/ruby-openstack/archive/refs/tags/v3.3.8.zip#from,https://github.com/ruby-openstack/ruby-openstack/releases/download/v3.3.8/openstack-3.3.8.gem#to"
bundler-audit-v0.9.2,"https://github.com/rubysec/bundler-audit/archive/refs/tags/v0.9.2.zip#from,https://github.com/rubysec/bundler-audit/releases/download/v0.9.2/bundler-audit-0.9.2.gem#to"
rubyzip-v2.3.2,"https://github.com/rubyzip/rubyzip/archive/refs/tags/v2.3.2.zip#from,https://rubygems.org/downloads/rubyzip-2.3.2.gem#to"
daru-v0.2.1,"https://github.com/SciRuby/daru/archive/refs/tags/v0.2.1.zip#from,https://github.com/SciRuby/daru/releases/download/v0.2.1/daru-0.2.1.gem#to"
iruby-v0.2.9,"https://github.com/SciRuby/iruby/archive/refs/tags/v0.2.9.zip#from,https://github.com/SciRuby/iruby/releases/download/v0.2.9/iruby-0.2.9.gem#to"
